"","V1"
"354",-2.53994737091548
"355",-2.50480165180961
"356",-2.34620795583427
"357",-2.34852724373459
"358",-2.3479743409433
"359",-2.2832725822377
"360",-2.16075397028233
"361",-2.27740465232432
"362",-2.18267247992851
"363",-1.93942527360291
"364",-1.98150910396233
"365",-1.80084338447977
"366",-1.72490807837486
"367",-1.69039792070059
"368",-1.63448808014929
"369",-1.52381195634835
"370",-1.54375066594713
"371",-1.58267521045902
"372",-1.38350928567173
"373",-1.23861953511493
"374",-1.20720828638082
"375",-1.16192927144294
"376",-1.06534085511674
"377",-0.976782085534855
"378",-0.881852081709323
"379",-0.803097384602245
"380",-0.770350402789028
"381",-0.643793671475721
"382",-0.623487511077831
"383",-0.466540426417811
"384",-0.452047275324949
"385",-0.39296735908246
"386",-0.354569744191269
"387",-0.221956225668274
"388",0.0233541139433711
"389",0.0294246450287504
"390",0.115369291100544
"391",0.243286351720172
"392",0.169721848928032
"393",0.238476553876593
"394",0.358820445749304
"395",0.422271339282405
"396",0.501538767051092
"397",0.474011122832811
"398",0.550762719447732
"399",0.557888959399451
"400",0.676194934405772
"401",0.587365101418527
"402",0.585733571274606
"403",0.64223775109071
"404",0.659519574428463
"405",0.656405443267408
"406",0.727478125873813
"407",0.74262310735047
"408",0.740366402654625
"409",0.992190238441584
"410",0.885110860310168
"411",0.974204757761723
"412",0.896823510155579
"413",0.886001894271107
"414",0.911429556908098
"415",0.936762329799905
"416",0.957596355966165
"417",0.877902492833045
"418",1.02549071413518
"419",0.82473051891038
"420",0.889394284784257
"421",1.01245468615222
"422",0.927613571573394
"423",0.947656921688775
"424",0.821326874517116
"425",0.884945080198811
"426",0.900141965973518
"427",0.953198917725744
"428",1.05822603519645
"429",1.08800008819418
"430",1.06052013601375
"431",1.13226448328513
"432",1.19101344376752
"433",0.953276725618637
"434",1.37049770927765
"435",1.37006590742963
"436",1.44898400356503
"437",1.58121855381198
"438",1.67211689666597
"439",1.50973740565656
"440",1.58339493592728
"441",1.70367185395187
"442",1.75440054643396
"443",1.82027748881458
"444",1.94265433074537
"445",1.88663194043925
"446",1.97141287335598
"447",2.03202187826256
"448",2.04467025046403
"449",2.08178877471908
"450",2.08184706092159
"451",2.18339255493169
"452",2.25689263963625
"453",2.26392515014238
"454",2.38635547403185
"455",2.37844543056882
"456",2.4024781043725
"457",2.25674708019988
"458",2.2254927956536
"459",2.3587414093668
"460",2.28572369062305
"461",2.43616846636804
"462",2.35338152622707
"463",2.38024425699698
"464",2.5077479394796
"465",2.43080135323367
"466",2.55825597191561
"467",2.7412306514825
"468",2.70390601617272
"469",2.94920262311536
"470",2.96710702136596
"471",2.92733999013975
"472",3.10072676489992
"473",3.17941309129315
"474",3.21292616277448
"475",3.2548202340029
"476",3.32092135367021
"477",3.36263317019115
"478",3.45145442689231
"479",3.39668868616795
"480",3.52120011193501
"481",3.55202457826457
"482",3.51223347067783
"483",3.62844898473979
"484",3.63990609814177
"485",3.59175345971967
"486",3.67690264245745
"487",3.69257417526664
"488",3.63227250865892
"489",3.74569408347772
"490",3.67540990583349
"491",3.69013497959776
"492",3.61086435855151
"493",3.76598429446984
"494",3.75308501568694
"495",3.73383999499732
"496",3.78500278620317
"497",4.0329158956552
"498",4.04253375340999
"499",4.13107201568433
"500",4.13508932121498
"501",4.25643963625318
"502",4.42652911726221
"503",4.5172750798566
"504",4.64229148814642
"505",4.71685405038165
"506",4.66431805246188
"507",5.00828654773519
"508",5.24197362690331
"509",5.10652298338073
"510",5.15443944841973
"511",5.09725617355989
"512",5.19553218822337
"513",5.05340200175855
"514",5.14389110941555
"515",5.3272182576625
"516",5.30394489925455
"517",5.38418325486061
"518",5.50466436217991
"519",5.5241071450303
"520",5.39911559637233
"521",5.41232540244602
"522",5.49927390289839
"523",5.56526015675803
"524",5.63617639584021
"525",5.72420496410146
"526",5.77574840900205
"527",5.81072399168337
"528",5.89394776844344
"529",6.0860111219837
"530",6.17263791540405
"531",6.11412015253069
"532",6.01763364407393
"533",6.2230767073175
"534",6.22667724154064
"535",6.11319227455327
"536",6.06946464127602
"537",6.17083755361468
"538",6.25902409419145
"539",6.31865923414852
"540",6.2777197074
"541",6.31237969506805
"542",6.22678836223092
"543",6.35198348265698
"544",6.32013004227735
"545",6.21746408151531
"546",6.31559476455421
"547",6.31013577094734
"548",6.39928873861562
"549",6.45645448835116
"550",6.6478484102517
"551",6.54943903941572
"552",6.71271435308621
"553",6.58170909701047
"554",6.61366143221526
"555",6.75557735910567
"556",6.87205215602327
"557",6.90708585060903
"558",6.96959245922096
"559",7.0378447347568
"560",7.16318673652351
"561",7.05983551203673
"562",7.08006515122074
"563",7.1730665078366
"564",7.24230812766918
"565",7.18235545578262
"566",7.44165870020154
"567",7.56508415310909
"568",7.67861090192863
"569",7.71362447393731
"570",7.7896806016433
"571",7.85710324877098
"572",7.96266417902849
"573",8.12957294362509
"574",8.16063902351957
"575",8.40826801128529
"576",8.56343865517598
"577",8.66714095700926
"578",8.92628695809616
"579",9.15462632126517
"580",9.25756527813624
"581",9.35601343551698
"582",9.17840031813451
"583",9.47292611266139
"584",9.34366094040803
"585",9.0407934990181
"586",9.08839905014286
"587",8.7764273971283
"588",8.69298057187302
"589",8.63397883626929
"590",8.57398585143684
"591",8.50496370231334
"592",8.71068241636889
"593",8.89270546405361
"594",9.09704728822933
"595",9.22127819442023
"596",9.51099029318263
"597",9.76738788720541
"598",10.1136552414399
"599",10.2913602593635
"600",10.3141169308865
"601",10.4552856330478
"602",10.2127995849737
"603",10.4577444434805
"604",10.4750373311707
"605",10.4931832274324
"606",10.3490178466854
"607",10.3473034041668
"608",10.3852656642754
"609",10.4574783019699
"610",10.5444815292987
"611",10.6188275927069
"612",10.841547713036
"613",10.8808279532816
"614",11.180603515081
"615",11.3145950668866
"616",11.3787913467505
"617",11.4020361156717
"618",11.3502926184033
"619",11.509225419182
"620",11.4912025780185
"621",11.4624303385319
"622",11.4295067779873
"623",11.3979328194409
"624",11.4319805055975
"625",11.6051839738465
"626",11.6624745859785
"627",11.5488728703453
"628",11.5791208414053
"629",11.5316228305451
"630",11.4625887131356
"631",11.47134902393
"632",11.4956350811129
"633",11.5625510199363
"634",11.5833594593682
"635",11.5916589172281
"636",11.5967738557292
"637",11.7041509408991
"638",11.8567290549176
"639",11.8799178531401
"640",11.8640776694115
"641",11.9077520216404
"642",12.0148028341846
"643",11.9225858502358
"644",12.040394054004
"645",12.1466664461456
"646",12.0823445916225
"647",12.1811310984228
"648",12.2620075107894
"649",12.1704381085786
"650",12.3300296272375
"651",12.4353768690373
"652",12.3595489844028
"653",12.4453845571251
"654",12.4402799747538
"655",12.511960817251
"656",12.4457095385645
"657",12.4586183163155
"658",12.3648122408825
"659",12.3493977089377
"660",12.2460505738823
"661",12.1107381960725
"662",12.2038407895857
"663",12.0925077517365
"664",11.856686150139
"665",11.8462302996926
"666",11.7285612955653
"667",12.0186008779916
"668",12.006763455794
"669",11.8680861177758
"670",11.9638626239328
"671",11.8732674141054
"672",11.58453295042
"673",11.6997434039066
"674",11.6630863815907
"675",11.7442905812039
"676",11.8495127918622
"677",11.872154477612
"678",11.9651548622877
"679",12.0647215563476
"680",12.0435908145645
"681",12.09797539319
"682",12.0274141002234
"683",12.0568406235236
"684",12.1501048373194
"685",12.0893822762728
"686",12.1213050971303
"687",12.1603837571542
"688",12.2512759347568
"689",12.2874056901569
"690",12.1419579951679
"691",12.1907952421613
"692",12.2721916160853
"693",12.281332973383
"694",12.3681072568391
"695",12.5835175036214
"696",12.4979599969198
"697",12.6036071748035
"698",12.5563628661772
"699",12.5527347887817
"700",12.7624584188124
"701",12.5211650245177
"702",12.7105351653795
"703",12.7122700940751
"704",12.7087467108929
"705",12.7003883546134
"706",12.6970376445057
"707",12.5966871682752
"708",12.5766041119914
"709",12.3479906143412
"710",12.3570851309459
"711",12.4953219481615
"712",12.3137472172966
"713",12.4014612724656
"714",12.3359098993693
"715",12.3534356846532
"716",12.3008891397197
"717",12.4346664865821
"718",12.4233168645678
"719",12.5135105872709
"720",12.4487448446392
"721",12.3948548742495
"722",12.5467980376322
"723",12.4013932343788
"724",12.7715311291095
"725",13.3582333938704
"726",14.16777866678
"727",14.4216991904312
"728",14.2611181041448
"729",14.2050490568197
"730",14.1507862119026
"731",14.3757513297259
"732",14.6159514612881
"733",14.8324694602732
"734",15.2710790098734
"735",15.5477198097514
"736",15.6870694896075
"737",15.9300430212369
"738",16.09974019617
"739",16.0630906507948
"740",16.1752669965915
"741",16.2114460029411
"742",16.4064561259864
"743",16.1083910460324
"744",16.3742676993927
"745",16.6275922169674
"746",16.5501262621453
"747",16.6607029612068
"748",16.5280965963053
"749",16.4580335197835
"750",16.2465891020846
"751",16.1554905052039
"752",15.9614800410151
"753",15.9103256743525
