"","V1","V2","V3"
"92",0.1,7.2421,-0.28
"93",-0.1,7.2633,-0.29
"94",0,7.1944,-0.25
"95",0.1,7.1538,0.03
"96",0,7.2513,-0.18
"97",0.1,7.2086,-0.29
"98",0,7.1317,-0.1
"99",0,7.3467,-0.22
"100",-0.1,7.2703,0.01
"101",-0.1,7.1616,0.04
"102",0.2,7.1293,-0.02
"103",0,7.1,-0.08
"104",-0.2,7.0707,0.11
"105",0.3,7.0656,-0.14
"106",0.2,7.0166,-0.02
"107",0.2,7.0121,0.07
"108",0,6.9217,-0.09
"109",0.3,7.0432,-0.3
"110",0.1,6.8763,-0.5
"111",0.1,6.6821,-0.4
"112",0.2,6.8721,-0.66
"113",0.2,6.8255,-0.13
"114",-0.1,6.9088,-0.21
"115",0.2,6.9037,-0.13
"116",0,6.9431,0.12
"117",-0.1,6.9689,-0.08
"118",0.1,6.9556,-0.16
"119",0,6.9226,-0.21
"120",0.1,6.9838,-0.24
"121",0,7.0058,-0.4
"122",0.3,6.9838,-0.38
"123",0,7.0699,-0.4
"124",0.1,7.1309,0.03
"125",0,7.1678,-0.08
"126",0,7.0022,-0.25
"127",0.2,7.1017,0.09
"128",0.2,7.0432,-0.06
"129",-0.1,7.0379,-0.51
"130",-0.1,7.1115,0.05
"131",0,7.0783,-0.08
"132",-0.3,7.1261,-0.12
"133",0.1,7.1017,-0.01
"134",0,7.1123,-0.17
"135",-0.1,7.0984,0.1
"136",-0.2,7.0984,0.01
"137",-0.1,6.9875,0.04
"138",0.1,7.1373,-0.11
"139",0,7.1389,0.04
"140",-0.1,7.1546,0.04
"141",-0.1,7.1341,0.02
"142",-0.1,7.1701,-0.03
"143",-0.1,7.2027,0.06
"144",0.1,7.2385,-0.1
"145",-0.2,7.2269,0.03
"146",-0.1,7.335,-0.06
"147",0.1,7.1483,0.09
"148",0,7.1982,0.2
"149",-0.1,7.355,0.09
"150",-0.1,7.2896,0.22
"151",-0.3,7.3304,0.45
"152",0,7.2506,0.24
"153",0,7.2717,0.01
"154",-0.1,7.2793,0.21
"155",-0.1,7.2957,0.26
"156",-0.1,7.2793,0.03
"157",-0.2,7.3205,0.53
"158",-0.1,7.2828,0.16
"159",0.1,7.2492,0.08
"160",-0.2,7.1824,0.39
"161",0,7.1301,0.06
"162",0.4,7.1444,0.07
"163",-0.2,7.1808,-0.04
"164",0,7.1554,-0.01
"165",0.1,7.2869,-0.15
"166",0,7.2556,-0.11
"167",-0.1,7.2218,0.06
"168",-0.1,7.2218,-0.04
"169",0.1,7.2807,0.04
"170",0,7.2661,-0.2
"171",0,7.291,-0.04
"172",-0.1,7.3072,-0.34
"173",0,7.2612,0.09
"174",0.1,7.3238,-0.09
"175",0,7.3159,0.02
"176",-0.3,7.291,0.03
"177",0.2,7.2944,0.13
"178",-0.4,7.3505,-0.18
"179",0.1,7.2964,0.08
"180",0,7.2385,-0.06
"181",0.2,7.3059,0.07
"182",0,7.2226,-0.02
"183",-0.1,7.2116,-0.04
"184",-0.1,7.3038,-0.06
"185",0,7.2841,0.2
"186",-0.1,7.3079,0.12
"187",-0.2,7.2738,-0.01
"188",0.1,7.3092,0.06
"189",-0.1,7.2703,-0.04
"190",-0.1,7.2371,0.02
"191",0.1,7.3434,0
"192",-0.2,7.3265,-0.04
"193",-0.1,7.3199,0.02
"194",0.1,7.3563,-0.02
"195",-0.1,7.3297,0.06
"196",0,7.3677,-0.05
"197",0.1,7.3569,-0.02
"198",-0.4,7.3395,-0.04
"199",0.1,7.3369,0.04
"200",0.1,7.4031,0.07
"201",0,7.4372,-0.02
"202",0,7.3865,0.01
"203",0.1,7.3664,-0.04
"204",-0.1,7.4472,-0.44
"205",-0.1,7.4146,-0.24
"206",0,7.4911,-0.15
"207",-0.1,7.4662,-0.05
"208",0.1,7.4206,0.13
"209",-0.2,7.4442,0.05
"210",0.1,7.3479,-0.07
"211",-0.1,7.3846,0
"212",0.1,7.3518,0.02
"213",0,7.42,0.23
"214",-0.1,7.4073,0.08
"215",0,7.3994,0.15
"216",-0.1,7.3827,-0.02
"217",0,7.4073,0.22
"218",-0.1,7.4431,-0.12
"219",0,7.4,0.15
"220",0.1,7.4599,0.28
"221",-0.1,7.3803,0.12
"222",-0.2,7.3939,0.17
"223",0.2,7.362,0.25
"224",0,7.3518,0.26
"225",0,7.2882,0.01
"226",0.1,7.3402,-0.04
"227",-0.2,7.3179,0.02
"228",0,7.3454,-0.01
"229",0,7.3467,0
"230",0,7.3343,-0.11
"231",0.3,7.3778,-0.42
"232",0,7.3933,-0.49
"233",0.1,7.3715,-0.18
"234",0.1,7.4079,-0.51
"235",-0.1,7.3809,-0.59
"236",0.2,7.4,-0.24
"237",0.1,7.4206,-0.2
"238",0.3,7.3569,-0.12
"239",0.1,7.3537,-0.58
"240",0.2,7.379,-0.4
"241",0.2,7.3576,-0.27
"242",0,7.4372,-0.09
"243",0,7.5115,0.01
"244",0,7.4037,-0.01
"245",0.2,7.3727,0.02
"246",-0.1,7.4753,0
"247",0,7.4483,0
"248",0,7.4116,-0.02
"249",-0.1,7.3982,0.01
"250",0,7.4978,0.01
"251",0,7.4073,0
"252",0.2,7.4691,-0.41
"253",0.1,7.4889,-0.1
"254",-0.2,7.5246,0
"255",0.1,7.3957,0.02
"256",0,7.4536,-0.01
"257",0.1,7.4043,0.01
"258",0.1,7.4679,0
"259",0.2,7.5321,-0.04
"260",-0.1,7.548,-0.21
"261",-0.1,7.5137,0.02
"262",0,7.5699,-0.02
"263",-0.1,7.5843,0
"264",-0.2,7.6416,-0.01
"265",-0.1,7.629,-0.02
"266",0,7.5554,0.02
"267",-0.1,7.5208,0.01
"268",0.2,7.5999,-0.01
"269",-0.2,7.6024,0
"270",0,7.5914,0
"271",0,7.511,0.03
"272",-0.1,7.6019,0.23
"273",-0.1,7.6128,0.17
"274",0,7.5522,0.18
"275",0.1,7.6363,0.15
"276",-0.1,7.4855,0.17
"277",0,7.6217,0.23
"278",-0.1,7.6704,0.12
"279",0.1,7.6994,0.22
"280",-0.2,7.5305,0.13
"281",0,7.6309,0.16
"282",-0.1,7.6133,0.21
"283",-0.1,7.6343,0.04
"284",0,7.6275,0.22
"285",-0.1,7.6473,0.24
"286",0.1,7.6737,0.12
"287",0,7.6329,0.16
"288",0,7.6718,0.22
"289",-0.1,7.5979,0.16
"290",-0.2,7.7289,0.13
"291",0.1,7.6587,0.2
"292",-0.1,7.5853,0.1
"293",0,7.5071,0.2
"294",-0.1,7.5715,0.15
"295",0,7.4967,0.05
"296",0.1,7.4599,0.25
"297",0,7.4085,0.01
"298",-0.2,7.4501,0
"299",-0.1,7.3072,0
"300",-0.1,7.4079,-0.01
"301",0.2,7.2506,0.01
"302",-0.1,7.2998,0.01
"303",-0.1,7.3099,0
"304",0.1,7.3065,-0.01
"305",-0.1,7.2549,0
"306",0.2,7.2779,0
"307",0.1,7.2108,0.01
"308",-0.1,7.1929,-0.24
"309",0.1,7.0758,-0.08
"310",0,7.142,-0.18
"311",0,7.0876,-0.27
"312",0.3,6.9441,-0.25
"313",0.2,6.9527,0.02
"314",0.2,6.8276,0.01
"315",0.3,6.7382,-0.01
"316",0.3,6.1696,-0.03
"317",0.1,6.3716,0.03
"318",0,6.3869,-0.05
"319",0.1,6.3733,0
"320",0.2,6.3716,-0.01
"321",0.2,6.2804,-0.03
"322",-0.1,6.3767,0
"323",0,6.3648,0
"324",-0.1,6.42,-0.01
"325",0,6.4036,0.02
"326",-0.3,6.3682,0
"327",-0.2,6.2841,-0.02
"328",0,6.3026,0
"329",0.1,6.3953,0.01
"330",0,6.3869,0
"331",-0.1,6.2971,0
"332",0.4,6.3008,0
"333",-0.1,6.248,-0.01
"334",0,6.3969,-0.02
"335",0.1,6.3172,-0.04
"336",-0.1,6.3297,-0.01
"337",0.1,6.4102,0
"338",-0.1,6.4345,-0.02
"339",0,6.3716,0.03
"340",0,6.477,-0.02
"341",-0.2,6.4135,-0.01
"342",-0.2,6.5667,0.01
"343",-0.1,6.5425,-0.01
"344",-0.2,6.5834,0.01
"345",0,6.5568,0.02
"346",-0.1,6.5439,0.03
"347",0,6.6241,0.01
"348",0,6.5624,0.02
"349",0,6.6294,0
"350",0,6.6067,0
"351",-0.1,6.6254,-0.03
"352",-0.3,6.7417,0.01
"353",0,6.8189,0.02
"354",-0.1,6.725,0
"355",0.2,6.8835,0
"356",-0.3,6.869,0.01
"357",-0.2,6.9177,-0.01
"358",0.1,6.7274,0.01
"359",-0.1,6.8352,-0.04
"360",0,6.7322,-0.02
"361",-0.2,6.7799,0
"362",-0.1,6.8211,-0.01
"363",0,6.7452,0
"364",0,6.8298,0.01
"365",-0.3,7.0031,-0.01
"366",-0.2,6.9098,0.01
"367",-0.1,6.789,-0.02
"368",0.1,6.8501,0
"369",0,6.8773,0.01
"370",-0.5,6.9499,0.01
"371",0.1,6.9147,0
"372",-0.2,6.8145,0.01
"373",0.1,6.9893,-0.01
"374",-0.1,6.8916,0
"375",-0.2,6.9305,0
"376",-0.2,6.9791,0
"377",0.1,6.9088,0
"378",-0.2,6.9782,0.03
"379",0.1,6.9893,-0.01
"380",-0.2,6.7867,0
"381",-0.1,6.8669,0
"382",0,7.0817,0.01
"383",0.2,6.9838,0
"384",-0.3,7.0942,0.01
"385",-0.1,7.044,0
"386",-0.1,7.03,0.01
"387",-0.1,7.1099,0
"388",0,6.9641,-0.02
"389",0.1,7.0665,0
"390",0.1,7.1107,0.04
"391",0.1,7.013,-0.02
"392",0.1,7.0588,0.01
"393",-0.3,7.0458,0
"394",0.1,7.0926,0.01
"395",-0.1,7.1221,0.01
"396",0.1,7.0656,0.01
"397",0.1,6.9735,0
"398",-0.1,7.1801,0
"399",-0.2,7.0388,0.01
"400",0,7.1325,0.13
"401",0,7.0817,0.11
"402",-0.1,7.1476,0.01
"403",-0.2,7.0817,0.13
"404",0,7.044,0.11
"405",0,7.0536,0.01
"406",-0.1,7.1301,0.13
"407",0,7.0951,0.11
"408",0.1,7.0553,0.01
"409",-0.1,7.0741,-0.01
"410",-0.1,7.1365,0
"411",0,7.1491,0.01
"412",-0.1,7.0707,0.14
"413",-0.1,7.1709,0.11
"414",0.1,7.1538,0.01
"415",-0.1,7.1884,0.09
"416",0,7.1593,0.18
"417",-0.2,7.2138,0.01
"418",0.2,7.0892,0.12
"419",-0.2,7.0892,0.09
"420",0,7.1616,0
"421",-0.1,7.1285,0.04
"422",0.1,7.1066,0.24
"423",0,7.0707,0.01
"424",0.1,6.993,0.07
"425",0.1,7.1164,0.13
"426",-0.2,7.0291,0
"427",0,7.0901,0.01
"428",-0.2,7.1546,0.01
"429",0,7.1763,-0.03
"430",0,7.1188,-0.01
"431",0.1,7.1164,0.02
"432",0,7.2226,-0.27
"433",-0.2,7.1678,-0.09
"434",0.1,7.1914,-0.21
"435",0,7.2027,-0.28
"436",0,7.3382,0
"437",-0.1,7.3582,0
"438",0,7.3595,0.03
"439",-0.5,7.2869,-0.01
"440",-1,7.333,0
"441",-0.2,7.3402,0
"442",0,7.4091,0
"443",-0.2,7.3809,-0.01
"444",0.1,7.417,0.02
"445",-0.5,7.3607,0.02
"446",-0.2,7.3626,-0.01
"447",-0.5,7.3518,-0.01
"448",-0.1,7.3544,0
"449",-0.4,7.4419,0
"450",-0.3,7.4776,0
"451",0.1,7.4182,0
"452",-0.2,7.4827,0
"453",-0.2,7.4478,0.12
"454",0,7.4983,0.13
